congress,chamber,bioguide_id,name,party,PORTMAN_attract,PORTMAN_offer
98,house,D000466,WAYNE DOWDY,D,,0.08543572227543134
98,house,D000471,THOMAS DOWNEY,D,0.42483276583644836,0.09517616898356088
98,house,D000492,DAVID DREIER,R,0.4655806828389686,0.35049684156962035
98,house,D000534,JOHN DUNCAN,R,0.5677351681088223,0.6225268393191058
98,house,D000563,RICHARD DURBIN,D,0.308575657382286,0.2464552436817775
98,house,D000586,BERNARD DWYER,D,0.32522980564598614,0.044136327265149336
98,house,D000592,MERVYN DYMALLY,D,0.2832266280654852,0.10837091857384139
98,house,D000593,ROYDEN DYSON,D,0.4057978796045082,0.18760357525999635
98,house,E000013,JOSEPH EARLY,D,0.416997108551602,0.14817708552548103
98,house,E000031,DENNIS ECKART,D,0.29612332206596415,0.1312059730451249
98,house,E000043,ROBERT EDGAR,D,0.31861580125882805,0.07236749700402953
98,house,E000064,DON EDWARDS,D,0.29360089996189764,0.060207647347714444
98,house,E000077,MICKEY EDWARDS,R,0.2726968470115193,0.5099255702477806
98,house,E000084,JACK EDWARDS,R,0.416997108551602,0.6855228600311667
98,house,E000174,BILL EMERSON,R,0.3715386203452489,0.5830070814974423
98,house,E000184,GLENN ENGLISH,D,0.42991467879589307,0.12193187346134546
98,house,E000201,BEN ERDREICH,D,,0.12323835890052615
98,house,E000204,JOHN ERLENBORN,R,0.2053670954443066,0.47671046605783457
98,house,E000250,LANE EVANS,D,0.3528437072359709,0.12421198553268789
98,house,E000259,COOPER EVANS,R,0.27718046384405126,0.5100661064606005
98,house,F000041,DANTE FASCELL,D,0.531363701793578,0.12028033919726022
98,house,F000046,WALTER FAUNTROY,D,0.3350784799173371,0.041998281250226296
98,house,F000053,VIC FAZIO,D,0.3132052870119156,0.07200488162555915
98,house,F000059,EDWARD FEIGHAN,D,0.37826148389829595,0.037843011840341
98,house,F000088,GERALDINE FERRARO,D,0.21786087416084055,0.05820832740868425
98,house,F000102,BOBBI FIEDLER,R,0.3598367142289779,0.623238358900526
98,house,F000111,JACK FIELDS,R,0.3952122978435121,0.660509430464876
98,house,F000141,HAMILTON FISH,R,0.32698314071409595,0.6819415975134278
98,house,F000208,RONNIE FLIPPO,D,0.360025127283413,0.13604556491493838
98,house,F000215,JAMES FLORIO,D,0.2640752077939585,0.04337303860455137
98,house,F000235,THOMAS FOGLIETTA,D,0.2615030191529783,0.07894784470319559
98,house,F000239,THOMAS FOLEY,D,0.4250286488352774,0.1698960096059512
98,house,F000261,HAROLD FORD,D,0.3762877996877696,0.036314115527040246
98,house,F000270,WILLIAM FORD,D,0.26825109406556963,0.06407599284176
98,house,F000286,EDWIN FORSYTHE,R,0.544686768493397,0.8081682322754791
98,house,F000329,WYCHE FOWLER,D,0.3200552492190206,0.030992296943174173
98,house,F000339,BARNEY FRANK,D,0.4132164001197144,0.1365718464719452
98,house,F000380,WILLIAM FRENZEL,R,0.46101003838918125,0.6965394634867105
98,house,F000392,MARTIN FROST,D,0.34502741158190503,0.1319010420261789
98,house,F000430,DON FUQUA,D,0.34348911858423425,0.20324926069847726
98,house,G000047,ROBERT GARCIA,D,0.29893817562761926,0.11939621953526049
98,house,G000105,JOSEPH GAYDOS,D,0.3004105965587603,0.07489515809365441
98,house,G000120,SAMUEL GEJDENSON,D,0.32803166597538025,0.120639744890967
98,house,G000121,GEORGE GEKAS,R,,0.5638906610422544
98,house,G000132,RICHARD GEPHARDT,D,0.316101540290306,0.15357983195297176
98,house,G000153,SAM GIBBONS,D,0.6289846801436573,0.3161251811473228
98,house,G000212,BENJAMIN GILMAN,R,0.4741855121292264,0.7504901803921123
98,house,G000225,NEWT GINGRICH,R,,0.4819974300678643
98,house,G000240,DAN GLICKMAN,D,0.4526584594164613,0.1250801973603064
98,house,G000272,HENRY GONZALEZ,D,0.1992760107815346,0.12468365211289192
98,house,G000291,BILL GOODLING,R,,0.5721621929702767
98,house,G000321,ALBERT GORE,D,0.3608847086267838,0.10629208187286993
98,house,G000349,WILLIS GRADISON,R,0.43746871729809544,0.4900358710998146
98,house,G000365,WILLIAM GRAMM,D,,0.4125902849230192
98,house,G000402,WILLIAM GRAY,D,0.3260880176425111,0.06816539690462929
98,house,G000417,S. GREEN,R,0.5273325366875081,0.8019125904827186
98,house,G000445,JUDD GREGG,R,0.45276017001845575,0.3908505402370065
98,house,G000511,FRANK GUARINI,D,0.36031960875291486,0.17238105024692016
98,house,G000524,STEVE GUNDERSON,R,0.32080205063142875,0.6195576425668251
98,house,H000058,KATIE HALL,D,0.2794168513525248,0.1000508432655177
98,house,H000067,RALPH HALL,D,0.44899755338981706,0.23477286029426386
98,house,H000070,SAM HALL,D,0.3588358706198478,0.33694432019096926
98,house,H000074,TONY HALL,D,0.42743578182804554,0.16552905796362866
98,house,H000114,LEE HAMILTON,D,0.32720268159494525,0.07814141975019172
98,house,H000124,JOHN HAMMERSCHMIDT,R,,0.7524491574593496
98,house,H000144,KENT HANCE,D,0.5141064742195102,0.15947445960579476
98,house,H000171,GEORGE HANSEN,R,0.18878779968776963,0.38426875617221756
98,house,H000172,JAMES HANSEN,R,0.3197040773540365,0.30656272357699266
98,house,H000206,THOMAS HARKIN,D,0.36195606168067684,0.1338143837785652
98,house,H000302,THOMAS HARTNETT,R,0.41335487100483015,0.38225511346170643
98,house,H000340,CHARLES HATCHER,D,0.2989140161723019,0.14316063691099706
98,house,H000367,AUGUSTUS HAWKINS,D,0.3386202066485333,0.06466487733490024
98,house,H000388,CHARLES HAYES,D,0.3260880176425111,0.07188186344772961
98,house,H000448,W. HEFNER,D,0.3260880176425111,0.053546539147364784
